site,project_name,id,project_id,plot,latitude,longitude,treatment,profile,min_org,horizon,raw_depth,adjusted_depth,sample_depth,fine_coarse,fine_bulk_density,fine_carbon,fine_nitrogen,dry_matter,carbon
AK_Rogers_C002,AK_Rogers,ps.3594,BR_AK1.ps.29,AK_Rogers_C002,64.328923,-145.879712,Control,B,org,moss,19.4264,19.4264,19.4264,1,0.00682726,33.947675,,1326.290837,450.2449028
AK_Rogers_C002,AK_Rogers,ps.3595,BR_AK1.ps.30,AK_Rogers_C002,64.328923,-145.879712,Control,B,org,fibric,25.18787,25.18787,5.76147,1,0.0253575,37.521988,,1460.964755,548.1830201
AK_Rogers_C002,AK_Rogers,ps.3593,BR_AK1.ps.28,AK_Rogers_C002,64.328923,-145.879712,Control,A,org,humic,23.5,23.5,3.3,1,0.662141,4.1817879,,21850.653,913.7479632
AK_Rogers_C002,AK_Rogers,ps.3598,BR_AK1.ps.33,AK_Rogers_C002,64.328923,-145.879712,Control,C,org,moss,14.1143,14.1143,14.1143,1,0.00880948,35.315133,,1243.396436,439.107105
AK_Rogers_C002,AK_Rogers,ps.3599,BR_AK1.ps.34,AK_Rogers_C002,64.328923,-145.879712,Control,C,org,fibric,21.3271,21.3271,7.2128,1,0.0167328,37.355058,,1206.903398,450.8394645
AK_Rogers_C002,AK_Rogers,ps.3596,BR_AK1.ps.31,AK_Rogers_C002,64.328923,-145.879712,Control,B,org,mesic,28.8,28.8,3.61213,1,0.0868986,38.00588,,3138.8904,1192.962919
AK_Rogers_C002,AK_Rogers,ps.3597,BR_AK1.ps.32,AK_Rogers_C002,64.328923,-145.879712,Control,B,org,humic,30.0,30.0,1.2,1,0.247759,12.30872,,2973.108,365.951539
AK_Rogers_C002,AK_Rogers,ps.3602,BR_AK1.ps.37,AK_Rogers_C002,64.328923,-145.879712,Control,D,org,moss,5.5,5.5,5.5,1,0.0153729,41.108622,,845.5095,347.5773043
AK_Rogers_C002,AK_Rogers,ps.3603,BR_AK1.ps.38,AK_Rogers_C002,64.328923,-145.879712,Control,D,org,fibric,15.0,15.0,9.5,1,0.0436862,39.362876,,4150.189,1633.63375
AK_Rogers_C002,AK_Rogers,ps.3600,BR_AK1.ps.35,AK_Rogers_C002,64.328923,-145.879712,Control,C,org,mesic,25.04998,25.04998,3.72288,1,0.119345,25.599118,,4443.071136,1137.387023
AK_Rogers_C002,AK_Rogers,ps.3601,BR_AK1.ps.36,AK_Rogers_C002,64.328923,-145.879712,Control,C,org,humic,26.49998,26.49998,1.45,1,0.483639,7.0049707,,7012.7655,491.2421685
AK_Rogers_C002,AK_Rogers,ps.3606,BR_AK1.ps.41,AK_Rogers_C002,64.328923,-145.879712,Control,E,org,moss,8.5,8.5,8.5,1,0.0172288,38.064999,,1464.448,557.4421166
AK_Rogers_C002,AK_Rogers,ps.3607,BR_AK1.ps.42,AK_Rogers_C002,64.328923,-145.879712,Control,E,org,fibric,15.0,15.0,6.5,1,0.0363075,37.440193,,2359.9875,883.5838748
AK_Rogers_C002,AK_Rogers,ps.3608,BR_AK1.ps.43,AK_Rogers_C002,64.328923,-145.879712,Control,E,org,mesic,17.5,17.5,2.5,1,0.0738302,29.399168,,1845.755,542.6366133
AK_Rogers_C002,AK_Rogers,ps.3609,BR_AK1.ps.44,AK_Rogers_C002,64.328923,-145.879712,Control,E,org,humic,19.75,19.75,2.25,1,0.370133,8.7408162,,8327.9925,727.9345176
AK_Rogers_C002,AK_Rogers,ps.3610,BR_AK1.ps.45,AK_Rogers_C002,64.328923,-145.879712,Control,F,org,moss,6.3821,6.3821,6.3821,1,0.0186167,35.585192,,1188.136411,422.800623
AK_Rogers_C002,AK_Rogers,ps.3611,BR_AK1.ps.46,AK_Rogers_C002,64.328923,-145.879712,Control,F,org,fibric,9.40432,9.40432,3.02222,1,0.0539415,30.262844,,1630.230801,493.3542042
AK_Rogers_C002,AK_Rogers,ps.3612,BR_AK1.ps.47,AK_Rogers_C002,64.328923,-145.879712,Control,F,org,mesic,13.6,13.6,4.19568,1,0.108531,27.878128,,4553.613461,1269.462189
AK_Rogers_C002,AK_Rogers,ps.3613,BR_AK1.ps.48,AK_Rogers_C002,64.328923,-145.879712,Control,F,org,humic,15.5,15.5,1.9,1,0.342044,16.115363,,6498.836,1047.311012
AK_Rogers_C002,AK_Rogers,ps.3605,BR_AK1.ps.40,AK_Rogers_C002,64.328923,-145.879712,Control,D,org,humic,20.85,20.85,2.1,1,1.03051,11.013095,,21640.71,2383.311951
AK_Rogers_C002,AK_Rogers,ps.3592,BR_AK1.ps.27,AK_Rogers_C002,64.328923,-145.879712,Control,A,org,mesic,20.2,20.2,3.66648,1,0.0718946,32.875274,,2636.00113,866.5925942
AK_Rogers_C002,AK_Rogers,ps.3590,BR_AK1.ps.25,AK_Rogers_C002,64.328923,-145.879712,Control,A,org,moss,9.47346,9.47346,9.47346,1,0.0130667,37.793544,,1237.868598,467.8344132
AK_Rogers_C002,AK_Rogers,ps.3604,BR_AK1.ps.39,AK_Rogers_C002,64.328923,-145.879712,Control,D,org,mesic,18.75,18.75,3.75,1,0.0841354,34.44692,,3155.0775,1086.827022
AK_Rogers_C002,AK_Rogers,ps.3591,BR_AK1.ps.26,AK_Rogers_C002,64.328923,-145.879712,Control,A,org,fibric,16.53352,16.53352,7.06006,1,0.0320925,38.568018,,2265.749756,873.8547735
AK_Rogers_C003,AK_Rogers,ps.3614,BR_AK1.ps.49,AK_Rogers_C003,64.307052,-145.934828,Control,A,org,fibric,5.35596,5.35596,5.35596,1,0.0224438,35.607494,,1202.08095,428.0309023
AK_Rogers_C003,AK_Rogers,ps.3615,BR_AK1.ps.50,AK_Rogers_C003,64.307052,-145.934828,Control,A,org,mesic,12.0,12.0,6.64404,1,0.0834276,26.242947,,5542.963115,1454.636873
AK_Rogers_C003,AK_Rogers,ps.3616,BR_AK1.ps.51,AK_Rogers_C003,64.307052,-145.934828,Control,A,org,humic,13.0,13.0,1.0,1,0.415019,11.182255,,4150.19,464.0848288
AK_Rogers_C003,AK_Rogers,ps.3622,BR_AK1.ps.57,AK_Rogers_C003,64.307052,-145.934828,Control,C,org,humic,4.2606,4.2606,1.2,1,0.4094,10.380633,,4912.8,509.979738
AK_Rogers_C003,AK_Rogers,ps.3623,BR_AK1.ps.58,AK_Rogers_C003,64.307052,-145.934828,Control,D,org,moss,9.08444,9.08444,9.08444,1,0.0192836,34.074571,,1751.807072,596.9207445
AK_Rogers_C003,AK_Rogers,ps.3624,BR_AK1.ps.59,AK_Rogers_C003,64.307052,-145.934828,Control,D,org,mesic,14.0,14.0,4.91556,1,0.158755,16.408335,,7803.697278,1280.456792
AK_Rogers_C003,AK_Rogers,ps.3625,BR_AK1.ps.60,AK_Rogers_C003,64.307052,-145.934828,Control,E,org,moss,4.22389,4.22389,4.22389,1,0.0188399,40.093617,,795.7766521,319.0556431
AK_Rogers_C003,AK_Rogers,ps.3626,BR_AK1.ps.61,AK_Rogers_C003,64.307052,-145.934828,Control,E,org,fibric,8.24603,8.24603,4.02214,1,0.0928789,26.113846,,3735.719388,975.5400081
AK_Rogers_C003,AK_Rogers,ps.3627,BR_AK1.ps.62,AK_Rogers_C003,64.307052,-145.934828,Control,E,org,mesic,11.09706,11.09706,2.85103,1,0.245827,7.4825689,,7008.601518,524.4234375
AK_Rogers_C003,AK_Rogers,ps.3628,BR_AK1.ps.63,AK_Rogers_C003,64.307052,-145.934828,Control,F,org,fibric,3.91406,3.91406,3.91406,1,0.0591581,32.089138,,2315.483529,743.0187049
AK_Rogers_C003,AK_Rogers,ps.3629,BR_AK1.ps.64,AK_Rogers_C003,64.307052,-145.934828,Control,F,org,mesic,9.5,9.5,5.58594,1,0.254983,10.50206,,14243.19739,1495.829136
AK_Rogers_C003,AK_Rogers,ps.3617,BR_AK1.ps.52,AK_Rogers_C003,64.307052,-145.934828,Control,B,org,moss,9.76389,9.76389,9.76389,1,0.0194133,32.131062,,1895.493257,609.0421137
AK_Rogers_C003,AK_Rogers,ps.3618,BR_AK1.ps.53,AK_Rogers_C003,64.307052,-145.934828,Control,B,org,mesic,10.9,10.9,1.13611,1,0.338058,11.127425,,3840.710744,427.3722075
AK_Rogers_C003,AK_Rogers,ps.3619,BR_AK1.ps.54,AK_Rogers_C003,64.307052,-145.934828,Control,B,org,humic,12.0,12.0,1.1,1,0.442097,6.2540419,,4863.067,304.1382478
AK_Rogers_C003,AK_Rogers,ps.3620,BR_AK1.ps.55,AK_Rogers_C003,64.307052,-145.934828,Control,C,org,fibric,1.70636,1.70636,1.70636,1,0.0725472,24.332545,,1237.916402,301.2165656
AK_Rogers_C003,AK_Rogers,ps.3621,BR_AK1.ps.56,AK_Rogers_C003,64.307052,-145.934828,Control,C,org,mesic,3.0606,3.0606,1.35424,1,0.275445,16.381304,,3730.186368,611.0531687
AK_Rogers_C004,AK_Rogers,ps.3635,BR_AK1.ps.70,AK_Rogers_C004,64.30782,-145.942635,Control,B,org,mesic,7.918,7.918,6.67099,1,0.0782005,31.998191,,5216.747535,1669.26484
AK_Rogers_C004,AK_Rogers,ps.3636,BR_AK1.ps.71,AK_Rogers_C004,64.30782,-145.942635,Control,C,org,fibric,3.90304,3.90304,3.90304,1,0.0385117,37.264364,,1503.127056,560.1307374
AK_Rogers_C004,AK_Rogers,ps.3637,BR_AK1.ps.72,AK_Rogers_C004,64.30782,-145.942635,Control,C,org,mesic,16.00004,16.00004,12.097,1,0.0580289,26.066388,,7019.756033,1829.796844
AK_Rogers_C004,AK_Rogers,ps.3638,BR_AK1.ps.73,AK_Rogers_C004,64.30782,-145.942635,Control,C,org,humic,17.50004,17.50004,1.5,1,0.351467,4.627,,5272.005,243.9356714
AK_Rogers_C004,AK_Rogers,ps.3639,BR_AK1.ps.74,AK_Rogers_C004,64.30782,-145.942635,Control,D,org,fibric,1.33899,1.33899,1.33899,1,0.125074,36.461799,,1674.728353,610.6360857
AK_Rogers_C004,AK_Rogers,ps.3640,BR_AK1.ps.75,AK_Rogers_C004,64.30782,-145.942635,Control,D,org,mesic,8.9,8.9,7.56101,1,0.0870736,30.983765,,6583.643603,2039.860663
AK_Rogers_C004,AK_Rogers,ps.3641,BR_AK1.ps.76,AK_Rogers_C004,64.30782,-145.942635,Control,D,org,humic,10.9,10.9,2.0,1,0.595726,4.0887385,,11914.52,487.1535663
AK_Rogers_C004,AK_Rogers,ps.3642,BR_AK1.ps.77,AK_Rogers_C004,64.30782,-145.942635,Control,E,org,moss,4.21818,4.21818,4.21818,1,0.00458533,43.110623,,193.417473,83.3834776
AK_Rogers_C004,AK_Rogers,ps.3643,BR_AK1.ps.78,AK_Rogers_C004,64.30782,-145.942635,Control,E,org,fibric,14.60988,14.60988,10.3917,1,0.0151028,33.643799,,1569.437668,528.0184543
AK_Rogers_C004,AK_Rogers,ps.3644,BR_AK1.ps.79,AK_Rogers_C004,64.30782,-145.942635,Control,E,org,mesic,19.42781,19.42781,4.81793,1,0.126515,11.396315,,6095.40414,694.6514563
AK_Rogers_C004,AK_Rogers,ps.3645,BR_AK1.ps.80,AK_Rogers_C004,64.30782,-145.942635,Control,F,org,moss,4.57025,4.57025,4.57025,1,0.0091897,40.430866,,419.9922643,169.8065096
AK_Rogers_C004,AK_Rogers,ps.3646,BR_AK1.ps.81,AK_Rogers_C004,64.30782,-145.942635,Control,F,org,fibric,8.16529,8.16529,3.59504,1,0.0353551,35.553093,,1271.029987,451.8904734
AK_Rogers_C004,AK_Rogers,ps.3647,BR_AK1.ps.82,AK_Rogers_C004,64.30782,-145.942635,Control,F,org,mesic,13.0,13.0,4.83471,1,0.107935,35.600409,,5218.344239,1857.751892
AK_Rogers_C004,AK_Rogers,ps.3648,BR_AK1.ps.83,AK_Rogers_C004,64.30782,-145.942635,Control,F,org,humic,15.0,15.0,2.0,1,0.521398,6.0680381,,10427.96,632.7725859
AK_Rogers_C004,AK_Rogers,ps.3630,BR_AK1.ps.65,AK_Rogers_C004,64.30782,-145.942635,Control,A,org,moss,6.17597,6.17597,6.17597,1,0.0199539,37.86673,,1232.346878,466.6494649
AK_Rogers_C004,AK_Rogers,ps.3631,BR_AK1.ps.66,AK_Rogers_C004,64.30782,-145.942635,Control,A,org,fibric,12.17379,12.17379,5.99782,1,0.0730647,33.578496,,4382.28919,1471.5068
AK_Rogers_C004,AK_Rogers,ps.3632,BR_AK1.ps.67,AK_Rogers_C004,64.30782,-145.942635,Control,A,org,mesic,18.9,18.9,6.72621,1,0.0956189,46.667943,,6431.528014,3001.461827
AK_Rogers_C004,AK_Rogers,ps.3633,BR_AK1.ps.68,AK_Rogers_C004,64.30782,-145.942635,Control,A,org,humic,21.5,21.5,2.6,1,1.04283,3.7164102,,27113.58,1007.651853
AK_Rogers_C004,AK_Rogers,ps.3634,BR_AK1.ps.69,AK_Rogers_C004,64.30782,-145.942635,Control,B,org,fibric,1.24701,1.24701,1.24701,1,0.138265,38.366186,,1724.178377,661.5014829
